ダウンロードした時刻：2020/08/27 10:19:42,,,,,,,,,,
,,,,,,,,,,
,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,時分,時分,,,,時分,時分,
,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号
2002/8/12,30.3,8,2002/8/12 13:00,8,1,24.4,8,2002/8/12 06:00,8,1
2002/8/13,35.1,8,2002/8/13 15:00,8,1,24.3,8,2002/8/13 03:00,8,1
2002/8/14,34.8,8,2002/8/14 13:00,8,1,26.2,8,2002/8/14 05:00,8,1
2002/8/15,34.9,8,2002/8/15 13:00,8,1,25.5,8,2002/8/15 05:00,8,1
2002/8/16,31.5,8,2002/8/16 13:00,8,1,23.7,8,2002/8/17 0:00,8,1
2002/8/17,29.5,8,2002/8/17 16:00,8,1,23.1,8,2002/8/17 07:00,8,1
2002/8/18,24.7,8,2002/8/18 14:00,8,1,22.4,8,2002/8/18 03:00,8,1
2002/8/19,26.2,8,2002/8/19 12:00,8,1,23.4,8,2002/8/19 04:00,8,1
2002/8/20,31.9,8,2002/8/20 12:00,8,1,22.4,8,2002/8/21 0:00,8,1
2002/8/21,29.8,8,2002/8/21 13:00,8,1,20,8,2002/8/21 05:00,8,1
2002/8/22,28.5,8,2002/8/22 14:00,8,1,20.5,8,2002/8/22 06:00,8,1
2002/8/23,23.3,8,2002/8/23 01:00,8,1,19.8,8,2002/8/23 23:00,8,1
2002/8/24,28.1,8,2002/8/24 16:00,8,1,19.7,8,2002/8/24 07:00,8,1
2002/8/25,30.6,8,2002/8/25 15:00,8,1,22.5,8,2002/8/25 05:00,8,1
2003/8/1,29.4,8,2003/8/1 15:30,8,2,22.1,8,2003/8/1 04:00,8,2
2003/8/2,33.2,8,2003/8/2 14:10,8,2,23.8,8,2003/8/2 04:40,8,2
2003/8/3,34.8,8,2003/8/3 13:30,8,2,24.2,8,2003/8/3 05:10,8,2
2003/8/4,35,8,2003/8/4 13:30,8,2,25.6,8,2003/8/4 05:20,8,2
2003/8/5,34.5,8,2003/8/5 11:40,8,2,23.6,8,2003/8/5 18:10,8,2
2003/8/6,31.4,8,2003/8/6 15:00,8,2,23.5,8,2003/8/6 05:10,8,2
2003/8/7,33.4,8,2003/8/7 15:50,8,2,24.2,8,2003/8/7 05:40,8,2
2003/8/8,31.4,8,2003/8/8 12:10,8,2,25,8,2003/8/8 05:10,8,2
2003/8/9,28.1,8,2003/8/9 10:00,8,2,24.9,8,2003/8/9 15:10,8,2
2003/8/10,35.2,8,2003/8/10 14:30,8,2,24.2,8,2003/8/10 05:50,8,2
2003/8/11,33.1,8,2003/8/11 12:00,8,2,25.6,8,2003/8/11 05:10,8,2
2003/8/12,31.7,8,2003/8/12 12:00,8,2,22.4,8,2003/8/13 0:00,8,2
2003/8/13,27.7,8,2003/8/13 14:30,8,2,21.1,8,2003/8/13 04:30,8,2
2003/8/14,23,8,2003/8/14 00:10,8,2,18.2,8,2003/8/15 0:00,8,2
2003/8/15,20.1,8,2003/8/15 16:20,8,2,18.1,8,2003/8/15 04:40,8,2
2003/8/16,20.1,8,2003/8/16 11:10,8,2,18.1,8,2003/8/16 23:30,8,2
2003/8/17,21.7,8,2003/8/17 15:10,8,2,18.2,8,2003/8/17 02:40,8,2
2003/8/18,26,8,2003/8/18 16:20,8,2,19.2,8,2003/8/18 04:00,8,2
2003/8/19,24.3,8,2003/8/19 15:30,8,2,20.1,8,2003/8/19 07:00,8,2
2003/8/20,27.3,8,2003/8/20 14:10,8,2,20.7,8,2003/8/20 05:00,8,2
2003/8/21,31.9,8,2003/8/21 13:30,8,2,22.2,8,2003/8/21 05:20,8,2
2003/8/22,33.7,8,2003/8/22 13:30,8,2,23.8,8,2003/8/22 05:30,8,2
2003/8/23,36,8,2003/8/23 14:00,8,2,24.6,8,2003/8/23 05:40,8,2
2003/8/24,35.9,8,2003/8/24 13:20,8,2,25.4,8,2003/8/24 05:00,8,2
2003/8/25,35,8,2003/8/25 14:20,8,2,26,8,2003/8/25 04:30,8,2
2004/8/1,32.6,8,2004/8/1 12:50,8,2,25.4,8,2004/8/1 05:00,8,2
2004/8/2,32.8,8,2004/8/2 13:20,8,2,24.8,8,2004/8/2 04:40,8,2
2004/8/3,33,8,2004/8/3 14:30,8,2,24.5,8,2004/8/3 03:50,8,2
2004/8/4,34.6,8,2004/8/4 14:40,8,2,25.2,8,2004/8/4 04:50,8,2
2004/8/5,31.8,8,2004/8/5 10:30,8,2,26.8,8,2004/8/5 04:10,8,2
2004/8/6,34.7,8,2004/8/6 14:00,8,2,26.2,8,2004/8/6 05:30,8,2
2004/8/7,32.9,8,2004/8/7 14:20,8,2,24.5,8,2004/8/7 22:20,8,2
2004/8/8,34.6,8,2004/8/8 13:20,8,2,24.8,8,2004/8/8 00:20,8,2
2004/8/9,35.1,8,2004/8/9 13:00,8,2,24.8,8,2004/8/9 05:20,8,2
2004/8/10,33.9,8,2004/8/10 10:40,8,2,25.4,8,2004/8/10 03:20,8,2
2004/8/11,32.6,8,2004/8/11 14:30,8,2,25.6,8,2004/8/11 05:50,8,2
2004/8/12,34.5,8,2004/8/12 14:40,8,2,23.6,8,2004/8/12 05:20,8,2
2004/8/13,35.6,8,2004/8/13 15:20,8,2,25.4,8,2004/8/13 05:20,8,2
2004/8/14,37,8,2004/8/14 13:10,8,2,25.3,8,2004/8/14 05:20,8,2
2004/8/15,27.3,8,2004/8/15 00:10,8,2,17.6,8,2004/8/15 07:20,8,2
2004/8/16,31.9,8,2004/8/16 14:30,8,2,18.3,8,2004/8/16 05:00,8,2
2004/8/17,29.1,8,2004/8/17 12:40,8,2,23.5,8,2004/8/17 05:10,8,2
